Store Name,Date,Actual,Predicted
06525 ปากซอยรังสิตภิรมย์,2024-03-31,25006.56,14511.5341796875
08374 หนองเสือ (คลอง 10 ),2024-03-31,4079.0,3534.450927734375
09515 ม.มาลีรมย์ 5 คลอง 6,2024-03-31,8035.81,7697.197099999996
09826 คลอง 5 คลองหลวง (ซ.26),2024-03-31,-2386.29,-1486.265625
10987 ตลาดคลอง 8 วิลล่า (หนองเสือ),2024-03-31,1608.35,-253.8020972748952
10987 ตลาดคลอง 8 วิลล่า (หนองเสือ),2024-04-30,-3569.53,-253.28403069837168
10987 ตลาดคลอง 8 วิลล่า (หนองเสือ),2024-05-31,-342.409999999998,-252.76596412184816
10987 ตลาดคลอง 8 วิลล่า (หนองเสือ),2024-06-30,-4578.4,-252.2478975453247
11315 บ้านอมรทรัพย์ คลอง 5 (คลองหลวง),2024-03-31,1787.4,1311.7828369140625
11998 เคหะรพีพัฒน์ 1,2024-03-31,13903.4,2791.2278000000038
13614 เทพกุญชร 32 จุด 2,2024-03-31,2637.55,-1010.93701171875
14050 คลอง 12 (หนองเสือ),2024-03-31,2488.52,-637.8465576171875
15156 ตลาดเจริญกัลป์,2024-03-31,2914.46,2142.424560546875
16019 คลองสาม 9/1-1(คลองหลวง),2024-03-31,1600.87,1230.5673828125
16050 บงกช 33,2024-03-31,20116.28,18915.142578125
16711 ฐานมั่นคง เอราวัณ,2024-03-31,29600.91,26635.1837
04268 บางกอกปาร์ค,2024-03-31,130.7433333333333,1701.91650390625
04509 เทพกุญชร 30,2024-03-31,-161.65,1166.3656005859375
06191 เอื้ออาทรพหลโยธิน กม.44,2024-03-31,13559.49,13593.5673828125
07034 อาคารกิตติวัฒนา,2024-03-31,55010.78,17316.51680000002
07845 ม.ธรรมศาสตร์ ( Inter Zone ),2024-03-31,24656.71,928.5369873046876
07867 โรงอาหารโรงพยาบาลธรรมศาสตร์,2024-03-31,3890.66,5420.3427734375
08129 เทพกุญชร 36,2024-03-31,624.47,1614.1910000000005
09037 ไพน์เฮิร์สท จุด 4,2024-03-31,16455.13,13368.665700000014
10073 ชุมชนซอยหงสกุล(คลองหลวง 21),2024-03-31,5637.55,3474.953125
11611 คลองสี่ ซ.41,2024-03-31,-3536.97,1460.7313232421875
13531 คลองหลวง 17,2024-03-31,5098.98,5191.31396484375
14700 โรงอาหารโรงพยาบาลธรรมศาสตร์ จุด 2,2024-03-31,2763.12,2498.8715999999977
15132 PTTOR คลองหลวง คลอง 1,2024-03-31,17365.8,2656.897100000001
15660 คชสาร 3,2024-03-31,-377.880000000002,-1327.3939208984375
15702 โรงพยาบาลธรรมศาสตร์,2024-03-31,6208.43,7515.46533203125
16544 KAVE TOWN รังสิต-ม.กรุงเทพ,2024-03-31,4236.55,1754.1507999999992
00046 ศรีเขมา,2024-03-31,16476.33,6985.76123046875
01360 Booth ทิปโก้,2024-03-31,48694.15,6834.727399999998
01528 อารีย์สัมพันธ์,2024-03-31,2657.726666666664,8231.802734375
02028 ศูนย์การแพทย์สิริกิติ์ (ร.พ.รามา),2024-03-31,16292.26,15932.89453125
02334 ประดิพัทธ์ 10,2024-03-31,49772.98,24824.77270000002
02948 เสริมสุข,2024-03-31,4562.14,4610.23974609375
05373 ศรีพิชัย จุด 2,2024-03-31,-889.169999999999,2999.9022999999997
06152 ศรีเขมา จุด 2,2024-03-31,2630.2,278.45559999999944
07644 พหลโยธิน 13,2024-03-31,3308.17,-2787.71630859375
11197 วิภาวดี 13,2024-03-31,750.070000000001,-432.610107421875
11245 ประดิพัทธ์ 19,2024-03-31,-1573.08,-1394.453857421875
11355 วิภาวดี 5 แยก 2,2024-03-31,28365.1,11840.533649430306
11355 วิภาวดี 5 แยก 2,2024-04-30,6509.79000000002,11852.470568982102
11355 วิภาวดี 5 แยก 2,2024-05-31,6454.81000000001,11864.4074885339
11355 วิภาวดี 5 แยก 2,2024-06-30,26100.1400000001,11876.344408085695
13124 วิภาวดี 17,2024-03-31,6760.69,549.197021484375
13992 Ari Hills,2024-03-31,75595.25,30716.336299999988
14814 ศุภาลัย เวอรันด้า รัชวิภา ประชาชื่น,2024-03-31,2032.37,-237.03779999999963
15116 มิกซ์ จตุจักร,2024-03-31,33482.32,31292.3984375
15448 BMN MRT จตุจักร,2024-03-31,23372.26,8367.916015625
00326 ประชาสงเคราะห์ 24,2024-03-31,2047.953333333333,10890.0908203125
00983 พร้อมพรรณ,2024-03-31,24085.85,19391.44140625
02957 ปตท.ราบ 1 (Flagship),2024-03-31,23748.41,-99.0613999999989
03631 การเคหะห้วยขวาง,2024-03-31,25714.22,10429.3212890625
04396 RS TOWER,2024-03-31,1215.34,5021.28271484375
05174 ตลาดนัดนาทอง,2024-03-31,27821.11,14846.8644
06006 บี.ยู. เพลส,2024-03-31,16889.22,9534.464400000008
06315 อินทามระ 44 จุด 2,2024-03-31,2805.04,188.73360000000105
07282 นาทอง ซอย 5,2024-03-31,-374.4133333333332,1353.656005859375
07866 เพิ่มสิน,2024-03-31,1030.5,1707.560791015625
08278 อินทามระ 10 จุด 2,2024-03-31,40494.64,30757.318359375
10716 เดอะสตรีท รัชดาภิเษก,2024-03-31,91188.96,24627.357540225265
10716 เดอะสตรีท รัชดาภิเษก,2024-04-30,51950.61,24630.38604433432
10716 เดอะสตรีท รัชดาภิเษก,2024-05-31,27419.43,24633.41454844337
10716 เดอะสตรีท รัชดาภิเษก,2024-06-30,32243.93,24636.443052552426
10821 อินทามระ 49,2024-03-31,4869.47,-2255.46630859375
11093 ท้ายซอยชานเมือง ซอย 2,2024-03-31,21.6199999999999,-835.6090698242188
11139 ประชาสงเคราะห์ 23 จุด 3,2024-03-31,-2758.37,-130.17855834960938
15485 ซอยบุญชูศรี,2024-03-31,1704.68,1763.121826171875
18349 เพิ่มสิน 3,2024-03-31,7577.23999999999,8271.787109375
00730 ตลาดไท จุด 1,2024-03-31,30897.18,-3276.374100000005
02704 ไทยธานี 21,2024-03-31,2223.01,-68.1021957397461
04432 หน้าเมืองนวนคร,2024-03-31,5961.34,229.68970000000024
04780 ม.พฤกษา บี,2024-03-31,28765.98,8138.54296875
04993 หมู่บ้านอยู่สบาย,2024-03-31,5323.42,8722.5859375
05137 นครชัยมงคล จุด 5,2024-03-31,-2105.12,-1405.5760498046875
08047 นวนครวิลล่า จุด2,2024-03-31,33096.51,28850.134765625
08991 ไทยธานี ซอย 8,2024-03-31,-2933.74,-5237.595571266635
08991 ไทยธานี ซอย 8,2024-04-30,-6433.7,-5267.120008146458
08991 ไทยธานี ซอย 8,2024-05-31,-7073.04,-5296.644445026275
08991 ไทยธานี ซอย 8,2024-06-30,-6490.37,-5326.168881906096
09646 PTTOR นวนคร,2024-03-31,10549.34,-2180.512939453125
10120 พระปิ่น 7(ตลาดไท),2024-03-31,20859.32,7934.447005682765
10120 พระปิ่น 7(ตลาดไท),2024-04-30,7060.46999999999,7954.083274587807
10120 พระปิ่น 7(ตลาดไท),2024-05-31,8118.87999999999,7973.719543492848
10120 พระปิ่น 7(ตลาดไท),2024-06-30,8377.17999999999,7993.355812397891
10989 เดอะไอยรา (คลองหลวง),2024-03-31,2308.3,789.4293212890625
11041 ไทยสมบูรณ์ 3,2024-03-31,9309.82000000001,4531.33935546875
14659 ไอยรา 23,2024-03-31,-2023.6,2381.729736328125
15000 นครชัยมงคล จุด 6,2024-03-31,-138.94,-1468.8090000000004
18112 ม.แสงทอง (คลองหลวง),2024-03-31,-409.460000000004,-110.5783462524414
00166 ประทานพร,2024-03-31,35629.88,40784.78125
01914 ตลาดพูนทรัพย์,2024-03-31,-818.79,-2223.120361328125
05191 ซอยสุขี 1(รังสิต-ปทุมธานี 37),2024-03-31,-1294.09,3207.79443359375
05560 PTTOR เชียงรากน้อย(ขาออก),2024-03-31,10441.58,4268.0400390625
06156 เวิร์คพอยท์ (เลียบคลองเปรมประชากร),2024-03-31,-1443.55,6697.099127131276
06156 เวิร์คพอยท์ (เลียบคลองเปรมประชากร),2024-04-30,-2232.12,6686.838888878263
06156 เวิร์คพอยท์ (เลียบคลองเปรมประชากร),2024-05-31,-2254.796666666667,6676.57865062525
06156 เวิร์คพอยท์ (เลียบคลองเปรมประชากร),2024-06-30,-2739.793333333334,6666.318412372237
08218 แมนฮัตตัน,2024-03-31,-530.390000000001,-2036.6644287109373
09225 ชุมชนบ้านกระแชง,2024-03-31,-972.599999999998,2326.3759765625
12116 อบต.บ้านปทุม,2024-03-31,-1770.84,-2074.072265625
13173 พฤกษาวิลล์ (รังสิต-คลองเปรม),2024-03-31,13331.23,-404.9649806949273
13173 พฤกษาวิลล์ (รังสิต-คลองเปรม),2024-04-30,-277.309999999952,-423.9099882764784
13173 พฤกษาวิลล์ (รังสิต-คลองเปรม),2024-05-31,-25960.4599999999,-442.85499585802825
13173 พฤกษาวิลล์ (รังสิต-คลองเปรม),2024-06-30,-26820.99,-461.80000343957937
14307 เทพกุญชร 22,2024-03-31,-521.43,-188.10006713867188
16217 พฤกษาวิลล์ (รังสิต-เวิร์คพ้อย),2024-03-31,2817.33,3596.99267578125
