Store Name,Best Model,MAPE (%)
06525 ปากซอยรังสิตภิรมย์,CNN-LSTM,38.24296676427106
08374 หนองเสือ (คลอง 10 ),LSTM,6.330951261415176
09515 ม.มาลีรมย์ 5 คลอง 6,RandomForest,4.00649194929771
09826 คลอง 5 คลองหลวง (ซ.26),CNN-LSTM,12.784250735451264
10987 ตลาดคลอง 8 วิลล่า (หนองเสือ),Prophet,82.33883817528826
11315 บ้านอมรทรัพย์ คลอง 5 (คลองหลวง),LSTM,2.933872611754509
11998 เคหะรพีพัฒน์ 1,RandomForest,8.43342416615953
13614 เทพกุญชร 32 จุด 2,GRU,14.42746271990104
14050 คลอง 12 (หนองเสือ),XGBoost,17.023638489930523
15156 ตลาดเจริญกัลป์,GRU,18.693873942878785
16019 คลองสาม 9/1-1(คลองหลวง),GRU,0.6515695371891603
16050 บงกช 33,GRU,15.295936223670576
16372 เอราวัณ 5,RNN,13.460838226336705
16711 ฐานมั่นคง เอราวัณ,RandomForest,0.3189586067431591
04268 บางกอกปาร์ค,XGBoost,100.6306747474099
04509 เทพกุญชร 30,GRU,44.83726871961269
06191 เอื้ออาทรพหลโยธิน กม.44,XGBoost,2.381755827474753
07034 อาคารกิตติวัฒนา,RandomForest,30.81069220356377
07845 ม.ธรรมศาสตร์ ( Inter Zone ),LSTM,3.857544318057847
07867 โรงอาหารโรงพยาบาลธรรมศาสตร์,GRU,5.427112071361282
08129 เทพกุญชร 36,RandomForest,6.926544461091049
09037 ไพน์เฮิร์สท จุด 4,RandomForest,5.011615286529836
10073 ชุมชนซอยหงสกุล(คลองหลวง 21),CNN-LSTM,3.216050328821914
11611 คลองสี่ ซ.41,XGBoost,1.4096046472358337
13531 คลองหลวง 17,GRU,1.25224148690033
14700 โรงอาหารโรงพยาบาลธรรมศาสตร์ จุด 2,RandomForest,3.414507236758857
15132 PTTOR คลองหลวง คลอง 1,RandomForest,43.5671572083663
15660 คชสาร 3,XGBoost,23.334805056116625
15702 โรงพยาบาลธรรมศาสตร์,CNN-LSTM,3.985448326408604
16544 KAVE TOWN รังสิต-ม.กรุงเทพ,RandomForest,22.792163216250703
00046 ศรีเขมา,GRU,25.137415642242544
01360 Booth ทิปโก้,RandomForest,61.86284182954485
01528 อารีย์สัมพันธ์,LSTM,385.4459154830873
02028 ศูนย์การแพทย์สิริกิติ์ (ร.พ.รามา),CNN-LSTM,5.7490347889887605
02334 ประดิพัทธ์ 10,RandomForest,8.211085959423759
02948 เสริมสุข,CNN-LSTM,57.40871728371991
05373 ศรีพิชัย จุด 2,RandomForest,75.73831486442838
06152 ศรีเขมา จุด 2,RandomForest,73.99833313818976
07644 พหลโยธิน 13,XGBoost,49.89208172833053
11197 วิภาวดี 13,XGBoost,84.24500493754688
11245 ประดิพัทธ์ 19,XGBoost,68.13092105892775
11355 วิภาวดี 5 แยก 2,Prophet,69.65809886754244
13124 วิภาวดี 17,CNN-LSTM,0.957801124496902
13992 Ari Hills,RandomForest,4.397474128733797
14814 ศุภาลัย เวอรันด้า รัชวิภา ประชาชื่น,RandomForest,155.8491204178098
15116 มิกซ์ จตุจักร,GRU,2.811022727815756
15448 BMN MRT จตุจักร,CNN-LSTM,1.0147904101914047
00326 ประชาสงเคราะห์ 24,XGBoost,159.83385468755475
00983 พร้อมพรรณ,GRU,2.564785509438108
01194 อินทามระ 47,RNN,52.488376569634966
02957 ปตท.ราบ 1 (Flagship),RandomForest,0.8092887552081562
03631 การเคหะห้วยขวาง,CNN-LSTM,16.167691577850704
04396 RS TOWER,CNN-LSTM,427.842415679187
05174 ตลาดนัดนาทอง,RandomForest,29.60347821770073
06006 บี.ยู. เพลส,RandomForest,6.91988335298988
06119 รัชดาภิเษก 17,RNN,0.5125698564481123
06315 อินทามระ 44 จุด 2,RandomForest,13.923428999485598
07282 นาทอง ซอย 5,XGBoost,107.0896266637024
07866 เพิ่มสิน,XGBoost,6.273002144052249
08278 อินทามระ 10 จุด 2,CNN-LSTM,17.119281094979485
10716 เดอะสตรีท รัชดาภิเษก,Prophet,39.8340431593223
10821 อินทามระ 49,XGBoost,36.10178796996556
11093 ท้ายซอยชานเมือง ซอย 2,XGBoost,57.73800844210332
11139 ประชาสงเคราะห์ 23 จุด 3,XGBoost,97.262102085528
14078 เพิ่มสิน 2,RNN,16.087736590500377
15485 ซอยบุญชูศรี,LSTM,7.460788152413507
18349 เพิ่มสิน 3,LSTM,6.355513353147199
00730 ตลาดไท จุด 1,RandomForest,9.446063560888213
02704 ไทยธานี 21,XGBoost,8.96974685958671
04432 หน้าเมืองนวนคร,RandomForest,3.8413493071121567
04780 ม.พฤกษา บี,GRU,73.47947076122993
04993 หมู่บ้านอยู่สบาย,CNN-LSTM,13.332427890575982
05137 นครชัยมงคล จุด 5,XGBoost,3.700842299322767
08047 นวนครวิลล่า จุด2,CNN-LSTM,3.738422400881549
08991 ไทยธานี ซอย 8,Prophet,34.928590359570265
09646 PTTOR นวนคร,XGBoost,8.061200755909761
10120 พระปิ่น 7(ตลาดไท),Prophet,20.247097569360573
10989 เดอะไอยรา (คลองหลวง),XGBoost,30.449670957209563
11041 ไทยสมบูรณ์ 3,LSTM,0.8937207063349294
14659 ไอยรา 23,LSTM,14.200034804154727
15000 นครชัยมงคล จุด 6,RandomForest,6.481956224259743
18112 ม.แสงทอง (คลองหลวง),CNN-LSTM,7.735432270933964
00166 ประทานพร,CNN-LSTM,15.13836249413413
01914 ตลาดพูนทรัพย์,XGBoost,62.37107991814291
05191 ซอยสุขี 1(รังสิต-ปทุมธานี 37),GRU,5.860011909913537
05560 PTTOR เชียงรากน้อย(ขาออก),LSTM,71.37882456785755
06156 เวิร์คพอยท์ (เลียบคลองเปรมประชากร),Prophet,217.5718560954797
08218 แมนฮัตตัน,XGBoost,49.58863716622805
09225 ชุมชนบ้านกระแชง,LSTM,20.77859497697842
12116 อบต.บ้านปทุม,XGBoost,10.158110686606433
